,Inflow,Outflow,Mass balance,Concentration (g/m3),Concentration (N/m3)
Ocean_Surface_Water,1.0017962033612955,1.0017962033612953,2.220446049250313e-16,3.7834393056656176e-16,9.896480104486276e-08
Ocean_Mixed_Water,1.0017963494596578,1.0017963494596582,-4.440892098500626e-16,3.7837111581621783e-16,9.913739381771849e-08
Ocean_Column_Water,1.0613182543878263,1.0613182543878261,2.220446049250313e-16,1.3406908978641496e-14,7.585356502539749e-05
Coast_Surface_Water,1.247657701657334e-07,1.2476577016573344e-07,-2.6469779601696886e-23,9.95483271220628e-19,6.326070353633962e-08
Coast_Column_Water,2.101080189177351e-07,2.1010801891773514e-07,-2.6469779601696886e-23,1.0229827256400847e-18,6.336859491459293e-08
Surface_Freshwater,4.180136444388561e-27,4.18013644438856e-27,7.174648137343064e-43,5.176171590233553e-38,4.679093343961188e-27
Bulk_Freshwater,6.311819839078882e-27,6.311819839078883e-27,-1.4349296274686127e-42,5.382388135194443e-38,4.692266667880934e-27
Sediment_Freshwater,3.0481388978271e-27,3.0481388978270994e-27,7.174648137343064e-43,7.837313003345914e-30,2.9778824967206124e-21
Sediment_Ocean,1.0613161239364444,1.0613161239364441,2.220446049250313e-16,0.0005953219999422816,6050.4443171304
Sediment_Coast,8.530305488190232e-08,8.53030548819023e-08,1.3234889800848443e-23,1.1215844336730763e-09,0.2990447799646649
Urban_Soil_Surface,3.3859470533249545e-28,3.385947053324954e-28,4.484155085839415e-44,2.4843941755266095e-32,7.258365008958085e-24
Urban_Soil,0.0,0.0,0.0,0.0,0.0
Background_Soil_Surface,5.350037336926263e-28,5.350037336926264e-28,-8.96831017167883e-44,2.4843941755266095e-32,7.258365008958085e-24
Background_Soil,0.0,0.0,0.0,0.0,0.0
Agricultural_Soil_Surface,1.7833457789754208e-29,1.7833457789754205e-29,2.802596928649634e-45,6.210985438816524e-33,1.814591252239521e-24
Agricultural_Soil,0.0,0.0,0.0,0.0,0.0
Air,3.0717548126794987e-27,3.0717548126794998e-27,-1.0761972206014595e-42,1.2694515003925214e-40,3.3748374687230726e-32
